SRD_PRJ_ID,Description,Action Name,Manager Name,Estimated Cost,Council District,Treatment Category,Project Status,Last Update,Estimated Start Date,Actual Start Date,Construct Complete,Street Name,street_name_alt,city,state,address,lat,long
31226,CANTEGRAL ST to LIBERTY ST,Street Resurfacing,Christopher Lutz,107301.01,14,Maintenance,Completed,7/5/2023,NA,5/16/2023,6/12/2023,2700-2800 FLORENCE ST,2750 FLORENCE ST,Dallas,Texas,"2750 FLORENCE ST, Dallas, TX",32.787864320744,-96.788071986389
30987,HALLSVILLE ST to THOMAS AVE,Partial Reconstruction,David Branch,36375.83,14,Maintenance,Completed,6/26/2023,5/19/2023,5/19/2023,6/20/2023,2200 CLARK ST,2200 CLARK ST,Dallas,Texas,"2200 CLARK ST, Dallas, TX",32.796989018047,-96.795646395999
31219,N ERVAY ST to N HARWOOD ST,Street Resurfacing,Christopher Lutz,226570.54,14,Maintenance,Completed,8/29/2023,NA,5/30/2023,7/12/2023,1700-1900 ELM ST,1800 ELM ST,Dallas,Texas,"1800 ELM ST, Dallas, TX",32.780934668505,-96.801839266341
31220,N PEARL EXPY to N CESAR CHAVEZ BLVD,Street Resurfacing,Christopher Lutz,86880.82,14,Maintenance,Completed,8/29/2023,NA,5/30/2023,7/12/2023,2200 ELM ST,2200 ELM ST,Dallas,Texas,"2200 ELM ST, Dallas, TX",32.780940975111,-96.801810446923
30137,EOP to S HILL AVE,Slurry Seal,Christopher Lutz,NA,2,Preservation,Completed,7/19/2023,NA,6/1/2023,6/15/2023,3900 WILLOW ST,3900 WILLOW ST,Dallas,Texas,"3900 WILLOW ST, Dallas, TX",32.785787993477,-96.770391974957
31386,EOP to S HILL AVE,Slurry Seal,Christopher Lutz,4916.07,2,Preservation,Completed,7/17/2023,NA,6/1/2023,6/15/2023,3900 WILLOW ST,3900 WILLOW ST,Dallas,Texas,"3900 WILLOW ST, Dallas, TX",32.785787993477,-96.770391974957
32993,N WASHINGTON AVE to N HASKELL AVE,Slurry Seal,Christopher Lutz,NA,2,Preservation,Completed,7/10/2023,NA,6/1/2023,6/5/2023,3900-4000 SIMPSON ST,3950 SIMPSON ST,Dallas,Texas,"3950 SIMPSON ST, Dallas, TX",32.78905269093,-96.774221393741
31302,ELM ST to SAN JACINTO ST,Street Resurfacing+,Christopher Lutz,230777.86,14,Maintenance,Completed,8/1/2023,NA,6/5/2023,7/13/2023,200-400 N GRIFFIN ST,300 N GRIFFIN ST,Dallas,Texas,"300 N GRIFFIN ST, Dallas, TX",32.781436018126,-96.803214079828
31311,MAIN ST to ROSS AVE,Street Resurfacing+,Christopher Lutz,321368.4,14,Maintenance,Completed,9/14/2023,NA,6/12/2023,8/29/2023,100-400 N LAMAR ST,250 N LAMAR ST,Dallas,Texas,"250 N LAMAR ST, Dallas, TX",32.780650726527,-96.804476848794
31454,N GOOD LATIMER EXPY to CANTEGRAL ST,Street Rehabilitation,Jerry Williams,38884.29,14,Maintenance,Completed,8/16/2023,5/29/2023,8/2/2023,8/15/2023,2600 MIRANDA ST,2600 MIRANDA ST,Dallas,Texas,"2600 MIRANDA ST, Dallas, TX",32.785952729221,-96.788363677204
31069,MAIN ST to ST LOUIS ST,AOC Global,Antonio Montez,845098.49,2,Maintenance,Completed,10/24/2023,NA,10/2/2023,10/24/2023,100-400 S MALCOLM X BLVD,250 S MALCOLM X BLVD,Dallas,Texas,"250 S MALCOLM X BLVD, Dallas, TX",32.78291831901,-96.78175731566
